date,category,region,gmv,order_count,refund_rate,conversion_rate,uv,pv
2026-04-16,Beauty,South,46143.06,333,0.0214,0.2754,1209,3627
2026-04-16,Beauty,West,78033.47,754,0.0227,0.1628,4632,27792
2026-04-16,Beauty,Central,47883.43,475,0.0208,0.1311,3622,14488
2026-04-17,Electronics,East,47445.8,252,0.0429,0.1733,1454,5816
2026-04-17,Electronics,North,50096.86,349,0.0416,0.2331,1497,7485
2026-04-17,Electronics,South,56003.05,414,0.0326,0.0867,4774,28644
2026-04-17,Electronics,West,43073.35,226,0.0061,0.057,3967,19835
2026-04-17,Electronics,Central,59479.43,652,0.024,0.3188,2045,8180
2026-04-17,Clothing,East,54012.8,403,0.0361,0.1215,3316,9948
2026-04-17,Clothing,North,64847.74,429,0.0323,0.1021,4202,12606
2026-04-17,Clothing,South,76571.63,574,0.0204,0.1918,2993,14965
2026-04-17,Clothing,West,53515.72,395,0.0424,0.1517,2603,18221
2026-04-17,Clothing,Central,29269.85,193,0.0091,0.0396,4878,14634
2026-04-17,Food,East,53578.99,250,0.0279,0.0762,3280,22960
2026-04-17,Food,North,59905.14,334,0.0216,0.1673,1996,7984
2026-04-17,Food,South,62679.13,430,0.0251,0.1376,3125,18750
2026-04-17,Food,West,41736.68,404,0.0327,0.0917,4405,26430
2026-04-17,Food,Central,72910.4,462,0.0313,0.0999,4626,18504
2026-04-17,Home,East,43099.79,332,0.0166,0.0755,4400,22000
2026-04-17,Home,North,46138.98,267,0.0107,0.0647,4127,28889
2026-04-17,Home,South,62081.27,394,0.0384,0.1458,2702,10808
2026-04-17,Home,West,55707.55,382,0.0232,0.1111,3437,13748
2026-04-17,Home,Central,49104.57,279,0.0401,0.1266,2204,11020
2026-04-17,Beauty,East,56697.48,284,0.0086,0.1017,2792,13960
2026-04-17,Beauty,North,54730.85,668,0.0234,0.1459,4580,13740
2026-04-17,Beauty,South,68499.42,635,0.0354,0.2934,2164,6492
2026-04-17,Beauty,West,59124.51,420,0.0416,0.1068,3934,15736
2026-04-17,Beauty,Central,54599.43,408,0.0272,0.1689,2416,12080
2026-04-18,Electronics,East,66149.97,506,0.0299,0.1858,2723,8169
2026-04-18,Electronics,North,56210.63,509,0.0375,0.4299,1184,3552
2026-04-18,Electronics,South,42726.74,238,0.0357,0.0499,4771,14313
2026-04-18,Electronics,West,42292.74,238,0.0342,0.153,1556,6224
2026-04-18,Electronics,Central,77525.13,641,0.0339,0.2074,3091,9273
2026-04-18,Clothing,East,62881.9,562,0.0393,0.421,1335,9345
2026-04-18,Clothing,North,77323.89,388,0.0353,0.0815,4763,33341
2026-04-18,Clothing,South,72242.17,1029,0.0304,0.6708,1534,10738
2026-04-18,Clothing,West,36845.53,218,0.0267,0.0473,4606,18424
2026-04-18,Clothing,Central,54659.86,394,0.0349,0.0813,4848,29088
2026-04-18,Food,East,78401.75,756,0.0475,0.2623,2882,20174
2026-04-18,Food,North,78957.86,404,0.0462,0.3171,1274,5096
2026-04-18,Food,South,43151.27,307,0.0157,0.1649,1862,13034
2026-04-18,Food,West,59838.25,432,0.0255,0.145,2979,14895
2026-04-18,Food,Central,63980.56,472,0.0442,0.1229,3839,26873
2026-04-18,Home,East,31697.53,184,0.0299,0.1445,1273,7638
2026-04-18,Home,North,59594.67,731,0.0278,0.4422,1653,9918
2026-04-18,Home,South,57127.82,580,0.0304,0.1166,4976,14928
2026-04-18,Home,West,55588.12,538,0.0479,0.1327,4054,28378
2026-04-18,Home,Central,65345.17,439,0.034,0.1329,3304,13216
2026-04-18,Beauty,East,65919.81,395,0.0417,0.0808,4886,14658
2026-04-18,Beauty,North,70649.34,379,0.0287,0.0888,4268,12804
2026-04-18,Beauty,South,75459.78,505,0.0227,0.1086,4651,32557
2026-04-18,Beauty,West,80849.69,514,0.0362,0.1129,4553,31871
2026-04-18,Beauty,Central,70112.21,455,0.0435,0.2446,1860,5580
2026-04-19,Electronics,East,92210.99,598,0.0222,0.1336,4475,13425
2026-04-19,Electronics,North,50030.05,459,0.0239,0.2495,1840,12880
2026-04-19,Electronics,South,59025.09,398,0.0351,0.1296,3071,9213
2026-04-19,Electronics,West,44225.08,211,0.0392,0.0697,3027,18162
2026-04-19,Electronics,Central,45242.58,296,0.0474,0.0934,3169,9507
2026-04-19,Clothing,East,70697.29,392,0.0212,0.093,4214,16856
2026-04-19,Clothing,North,82828.72,575,0.0351,0.1445,3978,11934
2026-04-19,Clothing,South,58810.19,413,0.0251,0.105,3933,11799
2026-04-19,Clothing,West,61408.49,455,0.0228,0.1475,3084,15420
2026-04-19,Clothing,Central,55519.64,902,0.0379,0.3128,2884,11536
2026-04-19,Food,East,57677.22,532,0.0403,0.1913,2781,16686
2026-04-19,Food,North,39618.94,307,0.0186,0.0809,3796,11388
2026-04-19,Food,South,60039.22,564,0.0169,0.1998,2823,11292
2026-04-19,Food,West,78584.27,355,0.0261,0.1821,1949,11694
2026-04-19,Food,Central,81476.01,471,0.0263,0.1085,4341,21705
2026-04-19,Home,East,65408.27,463,0.0151,0.1101,4205,25230
2026-04-19,Home,North,52985.07,422,0.0298,0.1394,3027,21189
2026-04-19,Home,South,82897.7,458,0.0063,0.1907,2402,12010
2026-04-19,Home,West,46038.85,379,0.031,0.1439,2634,18438
2026-04-19,Home,Central,67003.03,434,0.0232,0.1203,3607,18035
2026-04-19,Beauty,East,57817.24,454,0.0397,0.1471,3087,18522
2026-04-19,Beauty,North,99671.29,468,0.022,0.1128,4150,24900
2026-04-19,Beauty,South,74724.27,682,0.0284,0.1442,4729,18916
2026-04-19,Beauty,West,73288.96,446,0.0595,0.2221,2008,10040
2026-04-19,Beauty,Central,58292.21,342,0.0083,0.1432,2389,9556
2026-04-20,Electronics,East,59280.26,391,0.0066,0.1893,2066,8264
2026-04-20,Electronics,North,36927.91,236,0.0231,0.051,4624,32368
2026-04-20,Electronics,South,60814.41,579,0.0135,0.1326,4366,26196
2026-04-20,Electronics,West,51666.5,422,0.0418,0.3829,1102,6612
2026-04-20,Electronics,Central,46239.49,228,0.0371,0.1087,2097,8388
2026-04-20,Clothing,East,40992.75,384,0.046,0.0948,4052,24312
2026-04-20,Clothing,North,35664.24,240,0.0279,0.0547,4389,21945
2026-04-20,Clothing,South,58939.87,326,0.0407,0.107,3048,9144
2026-04-20,Clothing,West,63446.85,308,0.0144,0.1545,1994,9970
2026-04-20,Clothing,Central,35843.43,286,0.0355,0.1066,2684,13420
2026-04-20,Food,East,43826.67,299,0.0412,0.1259,2375,9500
2026-04-20,Food,North,62845.19,363,0.0211,0.1784,2035,10175
2026-04-20,Food,South,51216.61,323,0.0353,0.0992,3256,13024
2026-04-20,Food,West,44585.31,237,0.0316,0.0548,4328,25968
2026-04-20,Food,Central,43327.44,371,0.0164,0.2387,1554,7770
2026-04-20,Home,East,48002.48,276,0.0227,0.0571,4834,24170
2026-04-20,Home,North,55457.44,332,0.0256,0.1092,3041,9123
2026-04-20,Home,South,68598.02,485,0.0214,0.324,1497,7485
2026-04-20,Home,West,54180.99,583,0.0168,0.3272,1782,12474
2026-04-20,Home,Central,43559.71,273,0.0387,0.0555,4919,34433
2026-04-20,Beauty,East,64355.24,449,0.0368,0.1033,4346,21730
2026-04-20,Beauty,North,53475.4,276,0.0365,0.0869,3175,9525
2026-04-20,Beauty,South,28531.03,279,0.0173,0.0631,4421,30947
2026-04-20,Beauty,West,36208.82,211,0.0174,0.0768,2746,19222
2026-04-20,Beauty,Central,48461.49,291,0.0326,0.1541,1888,11328
2026-04-21,Electronics,East,44835.64,322,0.0192,0.094,3426,23982
2026-04-21,Electronics,North,59580.32,313,0.0285,0.0748,4183,20915
2026-04-21,Electronics,South,62140.6,310,0.0082,0.1439,2154,15078
2026-04-21,Electronics,West,32873.03,182,0.019,0.0814,2235,8940
2026-04-21,Electronics,Central,34006.43,281,0.0327,0.105,2675,13375
2026-04-21,Clothing,East,62252.57,450,0.0587,0.1986,2266,15862
2026-04-21,Clothing,North,65653.05,426,0.0282,0.2384,1787,12509
2026-04-21,Clothing,South,61294.08,500,0.0204,0.1295,3860,11580
2026-04-21,Clothing,West,45762.18,538,0.0301,0.1432,3756,11268
2026-04-21,Clothing,Central,51569.3,366,0.038,0.0829,4417,30919
2026-04-21,Food,East,64071.33,358,0.0208,0.0776,4612,32284
2026-04-21,Food,North,50823.34,364,0.0342,0.1951,1866,11196
2026-04-21,Food,South,28652.68,220,0.0276,0.2136,1030,7210
2026-04-21,Food,West,40528.84,276,0.0531,0.0587,4701,14103
2026-04-21,Food,Central,52367.68,262,0.0348,0.0563,4654,18616
2026-04-21,Home,East,43285.48,313,0.0157,0.2494,1255,6275
2026-04-21,Home,North,61577.23,625,0.0156,0.2181,2866,20062
2026-04-21,Home,South,53002.96,282,0.0269,0.2628,1073,3219
2026-04-21,Home,West,47224.93,262,0.0397,0.1832,1430,10010
2026-04-21,Home,Central,51191.4,281,0.0301,0.2592,1084,4336
2026-04-21,Beauty,East,68834.52,385,0.0268,0.2241,1718,6872
2026-04-21,Beauty,North,48428.71,369,0.0194,0.1353,2728,13640
2026-04-21,Beauty,South,49666.87,339,0.0262,0.1088,3116,9348
2026-04-21,Beauty,West,58663.65,444,0.0322,0.1718,2584,12920
2026-04-21,Beauty,Central,28435.46,196,0.0236,0.1154,1698,5094
2026-04-22,Electronics,East,49731.44,483,0.0381,0.102,4737,14211
2026-04-22,Electronics,North,46480.25,478,0.0036,0.2314,2066,10330
2026-04-22,Electronics,South,47467.85,279,0.0257,0.069,4041,16164
2026-04-22,Electronics,West,56906.02,652,0.0385,0.3569,1827,9135
2026-04-22,Electronics,Central,51850.57,414,0.0413,0.2415,1714,8570
2026-04-22,Clothing,East,45371.35,321,0.0061,0.077,4170,16680
2026-04-22,Clothing,North,48997.42,598,0.0292,0.1885,3173,22211
2026-04-22,Clothing,South,44622.31,265,0.0159,0.1803,1470,7350
2026-04-22,Clothing,West,55411.72,285,0.0427,0.1214,2348,7044
2026-04-22,Clothing,Central,48025.83,395,0.038,0.0862,4584,32088
2026-04-22,Food,East,68864.03,456,0.0271,0.121,3770,26390
2026-04-22,Food,North,48922.98,275,0.0214,0.1584,1736,10416
2026-04-22,Food,South,64262.79,421,0.0308,0.0884,4760,23800
2026-04-22,Food,West,42491.54,360,0.0209,0.3529,1020,5100
2026-04-22,Food,Central,42481.07,290,0.0254,0.1462,1983,7932
2026-04-22,Home,East,63480.26,382,0.0438,0.0857,4457,26742
2026-04-22,Home,North,57236.3,409,0.007,0.1645,2487,14922
2026-04-22,Home,South,45427.84,283,0.0392,0.0841,3365,23555
2026-04-22,Home,West,52097.63,379,0.053,0.0975,3886,27202
2026-04-22,Home,Central,52105.17,265,0.0437,0.084,3156,18936
2026-04-22,Beauty,East,50520.71,374,0.0545,0.163,2294,16058
2026-04-22,Beauty,North,46760.43,332,0.0251,0.2641,1257,8799
2026-04-22,Beauty,South,57589.17,306,0.0313,0.2084,1468,5872
2026-04-22,Beauty,West,41262.31,205,0.0199,0.0486,4221,16884
2026-04-22,Beauty,Central,61597.7,454,0.0395,0.1094,4150,24900
2026-04-23,Electronics,East,53542.6,362,0.032,0.1204,3007,15035
2026-04-23,Electronics,North,54584.86,568,0.0311,0.2347,2420,12100
2026-04-23,Electronics,South,47732.38,297,0.0409,0.0633,4694,14082
2026-04-23,Electronics,West,46473.48,328,0.0216,0.0929,3529,21174
2026-04-23,Electronics,Central,48675.98,285,0.0174,0.23,1239,6195
2026-04-23,Clothing,East,47212.25,407,0.0256,0.2648,1537,4611
2026-04-23,Clothing,North,34506.76,222,0.0201,0.0483,4600,18400
2026-04-23,Clothing,South,57902.88,466,0.0359,0.1259,3702,11106
2026-04-23,Clothing,West,60912.02,572,0.0514,0.2295,2492,17444
2026-04-23,Clothing,Central,48010.05,317,0.0358,0.1501,2112,8448
2026-04-23,Food,East,56472.3,329,0.0342,0.1243,2646,10584
2026-04-23,Food,North,49114.76,396,0.0358,0.3286,1205,6025
2026-04-23,Food,South,39210.91,288,0.02,0.0664,4335,21675
2026-04-23,Food,West,55061.56,379,0.0369,0.1138,3330,19980
2026-04-23,Food,Central,50894.78,356,0.0289,0.0947,3760,15040
2026-04-23,Home,East,51970.1,255,0.0127,0.0584,4368,13104
2026-04-23,Home,North,39990.48,274,0.0134,0.0715,3834,11502
2026-04-23,Home,South,55564.81,335,0.0332,0.0843,3976,11928
2026-04-23,Home,West,51950.37,219,0.0487,0.1242,1763,12341
2026-04-23,Home,Central,37030.97,271,0.0368,0.0801,3384,10152
2026-04-23,Beauty,East,47345.26,268,0.0131,0.1081,2480,7440
2026-04-23,Beauty,North,52241.03,387,0.0096,0.3196,1211,4844
2026-04-23,Beauty,South,44807.94,367,0.0039,0.1132,3241,19446
2026-04-23,Beauty,West,47191.51,369,0.0142,0.0895,4125,28875
2026-04-23,Beauty,Central,57310.9,307,0.029,0.066,4654,32578
2026-04-24,Electronics,East,50526.84,397,0.0284,0.1091,3640,21840
2026-04-24,Electronics,North,54575.69,438,0.0154,0.0918,4773,19092
2026-04-24,Electronics,South,65443.0,423,0.0284,0.2296,1842,11052
2026-04-24,Electronics,West,43177.12,229,0.0342,0.0682,3357,16785
2026-04-24,Electronics,Central,59694.08,498,0.0391,0.1965,2534,17738
2026-04-24,Clothing,East,55126.5,506,0.0146,0.2489,2033,8132
2026-04-24,Clothing,North,59765.05,366,0.0254,0.1392,2630,15780
2026-04-24,Clothing,South,48230.28,720,0.0165,0.2874,2505,7515
2026-04-24,Clothing,West,42193.72,278,0.0207,0.0682,4079,24474
2026-04-24,Clothing,Central,35532.77,243,0.0292,0.143,1699,11893
2026-04-24,Food,East,56883.91,613,0.0256,0.2296,2670,10680
2026-04-24,Food,North,64139.35,467,0.0528,0.0989,4721,23605
2026-04-24,Food,South,52063.37,456,0.0266,0.1074,4245,21225
2026-04-24,Food,West,48440.95,333,0.0285,0.1029,3235,19410
2026-04-24,Food,Central,36682.8,333,0.0217,0.1814,1836,7344
2026-04-24,Home,East,54464.4,229,0.0467,0.0913,2509,15054
2026-04-24,Home,North,59937.79,477,0.0288,0.1223,3901,27307
2026-04-24,Home,South,47067.46,338,0.0273,0.0883,3829,15316
2026-04-24,Home,West,48685.76,265,0.0434,0.0776,3414,23898
2026-04-24,Home,Central,42124.59,307,0.0462,0.3034,1012,4048
2026-04-24,Beauty,East,43457.2,288,0.028,0.0795,3621,14484
2026-04-24,Beauty,North,54571.66,360,0.032,0.1104,3261,22827
2026-04-24,Beauty,South,49416.12,227,0.0273,0.0738,3075,18450
2026-04-24,Beauty,West,49811.76,310,0.0472,0.1756,1765,7060
2026-04-24,Beauty,Central,38050.06,283,0.022,0.0588,4815,19260
2026-04-25,Electronics,East,58475.61,395,0.0055,0.3055,1293,3879
2026-04-25,Electronics,North,61646.32,359,0.0179,0.1332,2696,8088
2026-04-25,Electronics,South,90298.06,589,0.0202,0.1312,4488,17952
2026-04-25,Electronics,West,47630.25,305,0.0366,0.1006,3031,12124
2026-04-25,Electronics,Central,75065.67,459,0.0362,0.2523,1819,7276
2026-04-25,Clothing,East,64961.07,420,0.027,0.1776,2365,14190
2026-04-25,Clothing,North,71875.36,886,0.0177,0.3162,2802,14010
2026-04-25,Clothing,South,70754.24,380,0.0278,0.0848,4481,13443
2026-04-25,Clothing,West,44265.54,325,0.0151,0.1297,2506,7518
2026-04-25,Clothing,Central,74107.08,453,0.0383,0.174,2603,13015
2026-04-25,Food,East,78126.9,432,0.0281,0.0944,4574,22870
2026-04-25,Food,North,71294.42,548,0.02,0.1231,4453,17812
2026-04-25,Food,South,50813.26,339,0.0406,0.1487,2280,9120
2026-04-25,Food,West,56449.79,339,0.0221,0.1977,1715,6860
2026-04-25,Food,Central,74029.36,435,0.0193,0.1334,3262,16310
2026-04-25,Home,East,60075.17,299,0.0435,0.0789,3788,18940
2026-04-25,Home,North,79993.02,417,0.0272,0.1094,3810,22860
2026-04-25,Home,South,62815.23,400,0.0182,0.3192,1253,8771
2026-04-25,Home,West,29978.11,156,0.0221,0.0313,4979,29874
2026-04-25,Home,Central,73866.28,822,0.0236,0.3857,2131,12786
2026-04-25,Beauty,East,67578.5,435,0.0238,0.1789,2431,12155
2026-04-25,Beauty,North,64092.02,665,0.0221,0.1754,3791,26537
2026-04-25,Beauty,South,44770.9,294,0.028,0.0974,3017,21119
2026-04-25,Beauty,West,76445.58,472,0.0345,0.3946,1196,8372
2026-04-25,Beauty,Central,42945.09,277,0.0284,0.1204,2301,16107
2026-04-26,Electronics,East,87594.98,690,0.0162,0.1661,4155,16620
2026-04-26,Electronics,North,85557.18,544,0.0352,0.1947,2794,19558
2026-04-26,Electronics,South,61439.18,386,0.0304,0.3151,1225,3675
2026-04-26,Electronics,West,61264.14,349,0.0209,0.283,1233,3699
2026-04-26,Electronics,Central,53808.09,394,0.0095,0.3294,1196,5980
2026-04-26,Clothing,East,50682.12,436,0.0299,0.1056,4130,16520
2026-04-26,Clothing,North,45526.94,354,0.023,0.1365,2594,10376
2026-04-26,Clothing,South,55656.58,324,0.0156,0.1389,2332,13992
2026-04-26,Clothing,West,35161.97,205,0.0295,0.0545,3760,15040
2026-04-26,Clothing,Central,61873.8,338,0.0224,0.1027,3292,23044
2026-04-26,Food,East,62436.54,467,0.024,0.0959,4870,29220
2026-04-26,Food,North,45028.81,344,0.0429,0.1002,3434,24038
2026-04-26,Food,South,63247.58,434,0.0361,0.2378,1825,12775
2026-04-26,Food,West,66210.35,579,0.035,0.1866,3103,18618
2026-04-26,Food,Central,64301.78,397,0.0353,0.2627,1511,10577
2026-04-26,Home,East,58730.48,309,0.0352,0.0748,4132,20660
2026-04-26,Home,North,53580.86,462,0.0243,0.1042,4435,13305
2026-04-26,Home,South,62962.39,486,0.0384,0.1464,3319,23233
2026-04-26,Home,West,71499.43,414,0.016,0.1462,2832,16992
2026-04-26,Home,Central,77137.26,380,0.0237,0.1031,3685,14740
2026-04-26,Beauty,East,79941.72,480,0.0371,0.3061,1568,7840
2026-04-26,Beauty,North,59462.95,369,0.0336,0.1965,1878,7512
2026-04-26,Beauty,South,57151.93,291,0.0398,0.0832,3496,20976
2026-04-26,Beauty,West,72299.3,450,0.0404,0.2642,1703,10218
2026-04-26,Beauty,Central,54976.44,462,0.0287,0.094,4915,14745
2026-04-27,Electronics,East,32917.78,194,0.0197,0.062,3130,21910
2026-04-27,Electronics,North,41979.36,328,0.0561,0.0741,4424,26544
2026-04-27,Electronics,South,63120.53,472,0.0387,0.3983,1185,5925
2026-04-27,Electronics,West,52832.37,335,0.0394,0.1175,2851,19957
2026-04-27,Electronics,Central,38521.08,302,0.0374,0.2089,1446,8676
2026-04-27,Clothing,East,46930.01,890,0.0254,0.1938,4593,13779
2026-04-27,Clothing,North,42904.73,212,0.0311,0.0641,3308,23156
2026-04-27,Clothing,South,50387.82,305,0.0227,0.0876,3480,13920
2026-04-27,Clothing,West,49805.77,390,0.0334,0.2605,1497,5988
2026-04-27,Clothing,Central,54822.13,480,0.0369,0.1299,3696,18480
2026-04-27,Food,East,51946.4,328,0.0549,0.2295,1429,4287
2026-04-27,Food,North,47759.78,350,0.0258,0.0996,3515,24605
2026-04-27,Food,South,51495.0,330,0.025,0.0878,3760,22560
2026-04-27,Food,West,57163.33,625,0.0408,0.1331,4695,18780
2026-04-27,Food,Central,34519.32,362,0.0232,0.0855,4235,29645
2026-04-27,Home,East,62727.92,537,0.0267,0.1146,4685,32795
2026-04-27,Home,North,51329.27,378,0.0295,0.0885,4271,21355
2026-04-27,Home,South,64501.71,402,0.0333,0.1865,2155,12930
2026-04-27,Home,West,67744.82,501,0.0347,0.1101,4551,13653
2026-04-27,Home,Central,51142.11,338,0.006,0.0931,3630,14520
2026-04-27,Beauty,East,34932.64,232,0.0498,0.1779,1304,6520
2026-04-27,Beauty,North,65779.51,750,0.0223,0.1738,4316,17264
2026-04-27,Beauty,South,48463.33,418,0.0364,0.163,2565,7695
2026-04-27,Beauty,West,47886.44,317,0.0266,0.0875,3621,18105
2026-04-27,Beauty,Central,54188.93,383,0.0359,0.0802,4773,33411
2026-04-28,Electronics,East,44396.98,256,0.0188,0.2121,1207,4828
2026-04-28,Electronics,North,49182.07,235,0.0305,0.0741,3171,19026
2026-04-28,Electronics,South,45379.23,400,0.0426,0.0814,4915,29490
2026-04-28,Electronics,West,51064.4,308,0.0329,0.2152,1431,8586
2026-04-28,Electronics,Central,47929.51,274,0.0346,0.1974,1388,8328
2026-04-28,Clothing,East,49537.8,373,0.0326,0.1849,2017,12102
2026-04-28,Clothing,North,50000.16,277,0.02,0.0878,3154,9462
2026-04-28,Clothing,South,66238.73,352,0.0156,0.2495,1411,5644
2026-04-28,Clothing,West,43207.46,435,0.0371,0.1615,2693,8079
